CLUSTER_ID,LATITUDE,LONGITUDE,METACLUSTER_ID,MAIN_CITY_NAME,MAIN_CITY_STATE,MAIN_CITY_LAT,MAIN_CITY_LNG,FARTHEST_CITY_NAME,FARTHEST_CITY_STATE,FARTHEST_CITY_LAT,FARTHEST_CITY_LNG,RADIO,METACLUSTER_TAG,SONAR_TAG,CENTROID_TAG
0,33.7489954,-84.3879824,6,Atlanta,GA,33.74899540,-84.38798240,Sevierville,TN,-83.56183500,35.86814550,154.54000,Rockies Zone,ATL,North West GA
1,35.2270869,-80.8431267,2,Charlotte,NC,35.22708690,-80.84312670,Laurel Blmry,TN,-83.40583000,35.77694000,149.84000,Power Zone,CLT,Central NC
2,33.5206608,-86.80249,6,Birmingham,AL,33.52066080,-86.80249000,Lena,MS,-89.59455020,32.59600380,174.75000,Rockies Zone,BHM,North AL
3,34.0007104,-81.0348144,2,Columbia,SC,34.00071040,-81.03481440,Meridian,GA,-81.37787770,31.45189000,178.15000,Power Zone,CAE,Central SC
4,34.2257255,-77.9447102,2,Wilmington,NC,34.22572550,-77.94471020,Rodanthe,NC,-75.46558820,35.60038300,170.43000,Power Zone,ILM,South East NC
5,35.1495343,-90.0489801,0,Memphis,TN,35.14953430,-90.04898010,Ludlow,MS,-89.71285340,32.57180520,180.08000,French Zone,MEM,South West TN
6,32.3668052,-86.2999689,6,Montgomery,AL,32.36680520,-86.29996890,Rose Hill,MS,-88.99588780,32.14459280,159.09000,Rockies Zone,MGM,Central AL
7,29.9510658,-90.0715323,0,New Orleans,LA,29.95106580,-90.07153230,Creole,LA,-93.11126120,29.79605290,183.38000,French Zone,MSY,South East LA
8,40.7607793,-111.8910474,1,Salt Lake City,UT,40.76077930,-111.89104740,Monticello,UT,-109.34289480,37.87138290,242.91000,Golden Zone,SLC,North UT
9,38.2526647,-85.7584557,9,Louisville,KY,38.25266470,-85.75845570,Sebree,KY,-87.52861670,37.60698850,106.84000,Cowboys Zone,SDF,North KY
10,37.3058839,-89.5181476,9,Cape Girardeau,MO,37.30588390,-89.51814760,Simmons,MO,-92.01543330,37.23060550,138.12000,Cowboys Zone,CGI,South East MO
11,34.7464809,-92.2895948,0,Little Rock,AR,34.74648090,-92.28959480,Germania,MS,-90.59231930,32.60624920,178.09000,French Zone,LIT,East AR
12,36.082156,-94.1718542,0,Fayetteville,AR,36.08215600,-94.17185420,Elk Falls,KS,-96.18860380,37.36726420,143.42000,French Zone,XNA,North West AR
13,42.9633599,-85.6680863,9,Grand Rapids,MI,42.96335990,-85.66808630,Kingsley,MI,-85.53589940,44.58472510,112.80000,Cowboys Zone,GRR,South MI
14,41.8781136,-87.6297982,9,Chicago,IL,41.87811360,-87.62979820,Lancaster,WI,-90.71068210,42.84749050,171.83000,Cowboys Zone,CHI,North East IL
15,44.519159,-88.019826,9,Green Bay,WI,44.51915900,-88.01982600,Shuniah,ON,-89.21423290,48.44731500,278.73000,Cowboys Zone,GRB,East WI
16,39.1031182,-84.5120196,9,Cincinnati,OH,39.10311820,-84.51201960,Landess,IN,-85.56108630,40.61087580,118.72000,Cowboys Zone,CVG,South West OH
